ID,TWEETS
37,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
38,RT In view of rising cases of #Covid19 the #PunjabGovernment has issued an advisory for all inbound persons traveling to…
39,RT So her Twitter bio has more info than the link in the article Did she consult with professional educato…
40,RT . recommends that all lab-confirmed cases of #COVID19 be isolated &amp cared for in 🏥. For those who can only receive care a…
41,RT Maybe someone can explain why Houston has significantly more cases of #COVID19 reported than Dallas but nearly identical n…
42,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
43,RT 10 lakh tests is a small milestone Under the instructions of Hon'ble CM garu we will ensure comprehensive scree…
44,RT In crisis mode with 8-hour waits for testing and 20 percent positive rates for those who test Phoenix's mayor begged FEMA fo…
45,RT Update Chinese mainland reports 4 new confirmed #COVID19 cases of which one is domestically transmitted https://t.co/e4GzV65B…
46,SHAME ON YOU!! You are not a health expert! I am a microbiogist and I can tell you with 100 certai https://t.co/e0oKRy8LIH
47,RT America is never going to get #COVID19 under control I have to make peace with it We have to wait for a vaccine We are t…
48,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
49,RT _Mohan #Bihar Stop the bluster and focus on this first! In the 2019 Global Hunger Index India ranked 102 of 117 qualifying coun…
50,RT #MondayMotivation Words Of Wisdom by the King of Bollywood . . . . #ShahRukhKhan #SRK #KingKhan #KingOfBoplywood…
51,RT Omm Namah Shivay ...On the holly month of Shravan We pray Lord to give us power to fight against #COVID19 One of my S…
52,Around the world #SAPPartners are innovating rapidly to solve problems and help customers get back to work respo https://t.co/JTxLoOihYZ
53,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
54,RT Upon our request HBS hospital in Shivajinagar has been converted into a covid facility. Greatly appreciate the efforts…
55,RT 👏👏 to #ASHA Annapurna from Tunganagar #Shivamogga District for her sustained social activism against child marriage an…
56,RT _Mobile A silver lining amidst the chaos! We at #Poorvika_Mobiles thank &amp salute the heroes behind #India's First indigenous #…
57,RT The death rates are going down despite the infection rate increasing (due to increased testing). This is very positive…
58,"#Philippines Presidential Spokesperson Harry Roque says while #COVID19 cases saw daily high of 2,434 COVID-19 cases https://t.co/kf8dUGfsBB"
59,RT What is your most trusted news source for #COVID19?
60,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
61,RT #IndiaFightsCorona: Home Isolation Guidelines (for very mild/pre symptomatic #COVID19 cases)👇 #StaySafe #IndiaWillWi…
62,RT Update Chinese mainland reports 4 new confirmed #COVID19 cases of which one is domestically transmitted https://t.co/e4GzV65B…
63,RT Hello #MedTwitter seeing #COVID19 patients and doing post-covid clinic How often are you seeing post-covid19 pulmonary…
64,RT History will judge Donald Trump harshly He's committing democide-genocide w #COVID19 His actions are deliberate preme…
65,Someone make me a seafood boil please #COVID19 #TrumpIsLosing #seafood
66,RT #45 does not give a shit if you get Sick or Dead from #Covid19 It’s acceptable loss for him he tell lies:about deat…
67,The China bull is stoking the risk-on mood in markets https://t.co/9cdC1Aatoh #news #covid19 #coronavirus #breaking #breakingnews
68,RT I TOOK ONE FOR THE TEAM #covid19 #coronavirus #pandemic #preacher #duet #blow #windofgod https://t.co/pKMcFhw7pO
69,RT It clearly says...This does not protect against #COVID19 https://t.co/j5q9OeiBUL
70,RT Kerala's capital city corporation area Thiruvanathapuram going for a complete lock down for a week from tomorrow 6 AM onwards…
71,OUR BEST SELLER 🔥🔥 Mask Anti-dust Activated Carbon Filter Mouth Face Mask Patented Fast Shipping https://t.co/15mxQayJKw
72,RT Before you dismiss wearing a mask as too inconvenient. Before you dismiss #COVID19 as a hoax. Try speaking to a mother who…
73,RT As India overtook Russia and became the nation with the third most number of #COVID19 cases Lakshadweep the archipel…
74,RT India overtakes Russia to become world's third highest for virus cases gov't via #COVID19 https://t.co/AOPKn7TF7w
75,RT In crisis mode with 8-hour waits for testing and 20 percent positive rates for those who test Phoenix's mayor begged FEMA fo…
76,RT Nearly 3 MILLION American adults have moved in with their parents or grandparents during the pandemic #coronavirus #COVID19…
77,RT _Mobile Stay Protected Out of Virus &amp Germs By Shopping Vooki Hand Sanitizer at an Affordable Price. 500ml Rs 250 5 ltr :…
78,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
79,RT Some people are so selfish eat at home!...like geeeezzz🤣 #covid19 https://t.co/m3j65LOd6L
80,_Bruce #COVID19 was that the number plate?
81,RT “It is not God's creation that somebody is suffering from some painful condition and somebody is enjoying No We infect our…
82,That's a nice to cover up a murder lol #COVID19 #TrumpHasNoCredibilty #pizzagate https://t.co/jIzwqLR3Bp
83,RT #Hydroxychloroquine lowers #COVID19 death rate Henry Ford Health study finds | via https://t.co/9ExwyS…
84,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
85,RT #MondayMotivation Words Of Wisdom by the King of Bollywood . . . . #ShahRukhKhan #SRK #KingKhan #KingOfBoplywood…
86,RT Hey so I got #Covid19 in March I’ve been sick for over 3 months w severe respiratory cardiovascular &amp neurological sym…
87,RT We cannot ignore #COVID19 because it’s inconvenient or we’re ready to go back to normal. If we work together we can flat…
88,"RT #COVID19 has killed over 130,000 #Americans this is on https://t.co/WyO3MCO6xD"
89,RT _Mobile A silver lining amidst the chaos! We at #Poorvika_Mobiles thank &amp salute the heroes behind #India's First indigenous #…
90,RT We want to keep you informed about #COVID19 in #Oregon Data are provisional and change frequently For more information vi…
91,"RT Woken up by screams of ""man down again early this morning Another one of my friends hospitalized Head pounding Shi…"
92,RT WATCH This past week the state government announced that Governor Ifeanyi Okowa and wife have tested positive for #COVI…
93,"RT India reports a spike of 24,248 new #COVID19 cases and 425 deaths in the last 24 hours https://t.co/T35urodvSh"
94,RT Not encouraging #WearAMask Not encouraging social distancing Denying the severity of #COVID19
95,RT _serwaa Seen many tweets and FB posts that are against #covid19 vaccine trials across Africa When a vaccine is finally developed…
96,"RT ""I think right now we're where we were when New York City was having its peak epidemic, delivered one of…"
97,RT _Mobile Stay Protected Out of Virus &amp Germs By Shopping Vooki Hand Sanitizer at an Affordable Price. 500ml Rs 250 5 ltr :…
98,RT It’s very upsetting to see people not taking #Covid19 seriously Especially Black folks I don’t like to put my business…
99,RT _Garrett Much has been made of USA's poor #COVID19 performance vs Europe's But a FAR more meaningful contrast is USA v Canada.…
